CountryCode,IndicatorCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFE,SE.TER.ENRR,3.886470079,4.209420204,4.469359875,4.774889946,5.057590008,5.297369957,5.57156992,5.733560085,6.147649765,6.744249821,7.337440014,7.72468996,8.032899857,8.29008007,8.394439697,8.559129715,8.719650269,8.85848999,8.898249626,8.809289932,9.230360031,8.850520134,8.850520134
AFE,SE.XPD.TOTL.GD.ZS,4.17628258425,4.54042267775,4.8634574415000005,3.077979982,3.2236250045,5.76565992825,5.275966803666667,5.214005152333333,5.559657255666666,5.384529829,6.051443338333334,5.7401499744999995,6.2233332,6.678206682,8.352654934,6.791353146333333,7.327756882,0.127174035,0.234450966,0.270661741,4.35243988,4.632254839,3.906225443
AFG,SE.TER.ENRR,4.4660950895,4.8714251515,5.257555008000001,1.381070018,1.389660001,6.2339498995,4.980363687333333,4.694450219666667,4.971664746333333,4.024809837,4.765446662666667,3.755609989,4.4137665429999995,5.066333294,8.310870171,5.023576577666667,5.9358634949999995,2.2351821139999997,9.96378994,3.4769712483333337,10.8584404,4.29493373625,3.6617799105
AFG,SE.XPD.TOTL.GD.ZS,4.75590759475,5.20242762525,5.6516525745,3.9643248915,4.0657199025,6.70223987075,4.684760571,4.174895287,4.383672237,4.810639858,3.479449987,3.462009907,2.604199886,3.454459906,3.695219994,3.255800009,4.543970108,4.343190193,9.869599819000001,6.683280755666667,10.458765029999999,3.9576126335,3.4173343779999996
AFW,SE.TER.ENRR,5.0457201,5.533430099,6.045750141,6.547579765,6.741779804,7.170529842,7.236589909,7.470829964,7.73029995,7.876130104,8.161789894,8.461370468,8.847189903,9.380629539,9.633520126,9.678580284,9.473870277,9.588489532,9.775409698,9.889590263,10.05908966,3.62029153075,3.1728888454999997
AFW,SE.XPD.TOTL.GD.ZS,4.232990105666667,8.02299261175,3.399890065,4.6596999165,4.406744957,4.8614999055,4.85916996,13.632937193,14.151587725,6.224086761333333,6.58163325,7.3970003124999995,6.925430218333333,9.24849987,7.399013439666668,9.1811852455,9.567105293000001,9.622089385999999,9.563976287500001,10.4754748365,3.403950334,3.282970428,2.928443313
AGO,SE.TER.ENRR,3.4202601113333335,10.5125551245,0.754029989,2.771820068,2.07171011,2.552469969,2.481750011,19.795044421999997,20.572875500000002,4.5720434186666665,5.001476606000001,6.332630157,5.003670533666666,9.116370201,5.164506753333334,8.683790207,9.660340309,9.65568924,9.352542877,11.06135941,3.0744734410000003,2.7900396585,2.6302846075
AGO,SE.XPD.TOTL.GD.ZS,2.607530117,13.00211763725,8.3423098345,9.576684954000001,10.94683051,2.120110035,2.281460047,25.957151650999997,26.994163275000002,2.920000076,3.421319962,3.24000001,3.081910849,3.869999886,2.930000067,3.099999905,2.754936695,2.466878891,2.044701338,2.073064327,2.744996548,2.297108889,2.332125902
ALB,SE.TER.ENRR,15.23215961,15.49168015,15.93058968,16.38154984,19.82195091,23.53915024,27.70500946,32.11925888,33.41545105,34.2157402,45.00257874,49.66601181,59.5761795,65.31529236,66.82601166,62.98656082,59.27449036,58.65351105,56.60887146,62.07609177,61.39257813,60.31758118,62.73199081
ALB,SE.XPD.TOTL.GD.ZS,3.430170059,3.458699942,3.117799997,3.138230085,3.227519989,3.281549931,3.191459894,3.275929928,3.509226084,23.858133472333336,3.41307497,3.240008354,3.30906105,3.539299965,3.216967106,3.437969923,3.962090015,3.611720085,3.152944803,3.916239977,3.342299938,3.0904212,48.606170649999996
AND,SE.TER.ENRR,8.037019729333334,8.252643427999999,6.826900005,7.341650009,7.658490181,7.876550198,9.31690979,2.6903100015000003,11.74213028,13.500526744666669,3.194852471,3.1135342120000002,13.28104019,14.75994968,13.70014,13.88195992,15.10890961,15.43694019,15.39402962,15.0,15.09827042,15.20427036,34.48035049
AND,SE.XPD.TOTL.GD.ZS,12.643869399666666,13.046586913999999,1.65971005,13.0810899745,1.544119954,1.644970059,2.244899988,2.104690075,2.873929977,3.142920017,2.976629972,2.98706007,2.565778971,2.506160021,3.074209929,3.28034997,3.237070084,3.217089891,3.246720076,3.15060997,2.856162786,2.583972216,2.666229963
ARB,SE.TER.ENRR,17.25071907,17.8405304,18.72736931,18.82052994,20.02347946,21.06285095,21.46902084,21.91975975,22.5374794,23.22514915,23.97083092,23.65916061,25.02296066,26.67027092,27.9827404,29.36167908,29.90621948,30.88459015,32.16476059,33.01842117,33.39014053,33.45962906,33.51316833
ARB,SE.XPD.TOTL.GD.ZS,26.52135706,6.585830212,6.551109791,5.211292267,5.535069942,4.738339901,3.859339952,33.167181492500006,34.107182502499995,35.178226945,36.525005820000004,37.10177326,38.3811979275,39.694868565,41.2794079775,42.961904527499996,44.0841350525,45.47167778,46.866778374999996,39.749626160000005,43.048179625,23.604919355,37.89538192333333
ARE,SE.TER.ENRR,35.79199505,23.987783751333335,25.05382696733333,24.94167836466667,25.319329261333333,24.403009734,24.945757071333333,44.414603235,45.676885604999995,47.131304740000004,49.07918072,50.54438591,51.739435195,52.71946620999999,54.576075555,56.56212997499999,58.262050625,60.05876541000001,61.56879616,46.48083115,52.70621872,13.750209649999999,42.277595516666665
ARE,SE.XPD.TOTL.GD.ZS,45.06263304,41.389737290666666,43.55654414366666,44.67206446233334,45.10358858066667,44.067679567,46.032174190666666,55.66202497750001,57.246588707499996,59.084382535,61.63335562,63.98699856,65.0976724625,65.744063855,67.87274313249999,70.1623554225,72.4399661975,74.64585304,76.270813945,3.860209942,3.984179974,3.895499945,46.65980911
ARG,SE.TER.ENRR,54.33327103,58.79169083,62.05926132,64.40245056,64.8878479,63.7323494,67.11859131,66.90944672,68.81629181,71.03746033,74.18753052,77.42961121,78.45590973,78.7686615,81.16941071,83.76258087,86.61788177,89.23294067,90.97283173,95.0775528,99.26622772,107.130661,51.04202270333333
ARG,SE.XPD.TOTL.GD.ZS,4.580309868,4.833740234,4.017340183,3.535049915,3.486520052,3.860009909,4.128210068,4.462600231,4.844409943,5.531050205,5.019710064,5.290629864,5.345829964,5.436610222,5.361440182,5.776110172,5.545489788,5.454319954,4.877739906,4.777599812,5.279640198,4.647600174,55.42423629666666
ARM,SE.TER.ENRR,35.33147049,33.65793991,35.85945129,36.66453171,37.08034897,38.33843994,41.8117218,44.43370819,45.99962997,47.37995148,47.74531174,47.82310104,41.4842186,41.62403107,44.41101837,45.46743011,51.74600983,53.59075928,56.16505051,53.30681992,53.30612946,58.75630951,59.80644989
ARM,SE.XPD.TOTL.GD.ZS,2.772730112,2.469439983,2.135040045,2.145040035,2.486730099,2.712029934,2.715770006,3.018939972,3.172729969,3.840790033,3.249000072,3.143850088,2.772480011,2.650180101,2.247240067,2.80591011,2.75812006,2.707590103,2.255867958,2.571912289,2.705559969,2.771339893,2.49326992
