CountryCode,IndicatorCode,Year,Value
AFE,SE.TER.ENRR,2000,3.886470079
AFE,SE.XPD.TOTL.GD.ZS,2000,4.17628258425
AFG,SE.TER.ENRR,2000,4.4660950895
AFG,SE.XPD.TOTL.GD.ZS,2000,4.75590759475
AFW,SE.TER.ENRR,2000,5.0457201
AFW,SE.XPD.TOTL.GD.ZS,2000,4.232990105666667
AGO,SE.TER.ENRR,2000,3.4202601113333335
AGO,SE.XPD.TOTL.GD.ZS,2000,2.607530117
ALB,SE.TER.ENRR,2000,15.23215961
ALB,SE.XPD.TOTL.GD.ZS,2000,3.430170059
AND,SE.TER.ENRR,2000,8.037019729333334
AND,SE.XPD.TOTL.GD.ZS,2000,12.643869399666666
ARB,SE.TER.ENRR,2000,17.25071907
ARB,SE.XPD.TOTL.GD.ZS,2000,26.52135706
ARE,SE.TER.ENRR,2000,35.79199505
ARE,SE.XPD.TOTL.GD.ZS,2000,25.388099989333334
ARG,SE.TER.ENRR,2000,14.984204928666667
ARG,SE.XPD.TOTL.GD.ZS,2000,4.580309868
ARM,SE.TER.ENRR,2000,35.33147049
ARM,SE.XPD.TOTL.GD.ZS,2000,2.772730112
ASM,SE.TER.ENRR,2000,3.1246217488333334
ASM,SE.XPD.TOTL.GD.ZS,2000,3.476513385666667
ATG,SE.TER.ENRR,2000,3.8284050225
ATG,SE.XPD.TOTL.GD.ZS,2000,4.180296659333333
AUS,SE.TER.ENRR,2000,4.532188296166667
AUS,SE.XPD.TOTL.GD.ZS,2000,4.884079933
AUT,SE.TER.ENRR,2000,5.23644495
AUT,SE.XPD.TOTL.GD.ZS,2000,5.588809967
AZE,SE.TER.ENRR,2000,4.7214000225
AZE,SE.XPD.TOTL.GD.ZS,2000,3.853990078
BDI,SE.TER.ENRR,2000,1.091120005
BDI,SE.XPD.TOTL.GD.ZS,2000,2.645479918
BEL,SE.TER.ENRR,2000,4.089106441
BEL,SE.XPD.TOTL.GD.ZS,2000,5.532732964
BEN,SE.TER.ENRR,2000,3.626980066
BEN,SE.XPD.TOTL.GD.ZS,2000,2.113660097
