CountryCode,IndicatorCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,NY.GDP.MKTP.CD,1873184358,1896648045,1962011173,2044134078,2254748603,2359776536,2469832402,2677653631,2843016760,2553631285,2453631285,2637988827,2615083799,2727932961,2791061453,2963128492,2983798883,3092178771,3276187709,3395793855,2610038939,3126019385,
ABW,SE.TER.ENRR,28.47348022,27.7578907,26.82393074,27.68670082,27.83859062,33.91851044,34.03218079,36.79524994,37.23633957,36.16004944,37.22045135,37.10728836,37.37345123,16.64318085,17.68074036,17.26896095,18.43367958,,,,,,
AFE,NY.GDP.MKTP.CD,2.85E+11,2.60E+11,2.67E+11,3.54E+11,4.40E+11,5.14E+11,5.78E+11,6.63E+11,7.11E+11,7.22E+11,8.64E+11,9.68E+11,9.75E+11,9.86E+11,1.01E+12,9.27E+11,8.85E+11,1.02E+12,1.01E+12,1.00E+12,9.28E+11,1.08E+12,1.17E+12
AFE,SE.TER.ENRR,3.886470079,4.209420204,4.469359875,4.774889946,5.057590008,5.297369957,5.57156992,5.733560085,6.147649765,6.744249821,7.337440014,7.72468996,8.032899857,8.29008007,8.394439697,8.559129715,8.719650269,8.85848999,8.898249626,8.809289932,9.230360031,8.850520134,8.850520134
AFG,NY.GDP.MKTP.CD,,,3854235264,4539496563,5220825049,6226198935,6971383339,9715765105,10249770319,12154835708,15633843662,18190413832,20203572960,20564485419,20550582747,19998143636,18019554403,18896353156,18418860354,18904502222,20143451706,14583135237,
AFG,SE.TER.ENRR,,,,1.381070018,1.389660001,,,,,4.024809837,,3.755609989,,,8.310870171,,,,9.96378994,,10.8584404,,
AFW,NY.GDP.MKTP.CD,1.41E+11,1.49E+11,1.77E+11,2.05E+11,2.54E+11,3.11E+11,3.97E+11,4.65E+11,5.68E+11,5.08E+11,5.99E+11,6.82E+11,7.38E+11,8.34E+11,8.94E+11,7.69E+11,6.91E+11,6.85E+11,7.67E+11,8.23E+11,7.86E+11,8.44E+11,8.78E+11
AFW,SE.TER.ENRR,5.0457201,5.533430099,6.045750141,6.547579765,6.741779804,7.170529842,7.236589909,7.470829964,7.73029995,7.876130104,8.161789894,8.461370468,8.847189903,9.380629539,9.633520126,9.678580284,9.473870277,9.588489532,9.775409698,9.889590263,10.05908966,,
AGO,NY.GDP.MKTP.CD,9129594819,8936079253,15285592487,17812704626,23552057820,36970901025,52381025105,65266415707,88538664888,70307196477,81699526881,1.09E+11,1.25E+11,1.33E+11,1.37E+11,87219300385,49840491178,68972769396,77792944472,69309110146,50241368244,65685435100,1.07E+11
AGO,SE.TER.ENRR,,,0.754029989,2.771820068,2.07171011,2.552469969,2.481750011,,,,,6.332630157,,9.116370201,,8.683790207,9.660340309,9.65568924,9.352542877,11.06135941,,,
ALB,NY.GDP.MKTP.CD,3480355258,3922100794,4348068242,5611496257,7184685782,8052077209,8896074996,10677324873,12881352878,12044205572,11926926654,12890760273,12319834233,12776224537,13228147516,11386853143,11861199831,13019726212,15156424062,15401826081,15162734205,17930565119,18882095518
ALB,SE.TER.ENRR,15.23215961,15.49168015,15.93058968,16.38154984,19.82195091,23.53915024,27.70500946,32.11925888,33.41545105,34.2157402,45.00257874,49.66601181,59.5761795,65.31529236,66.82601166,62.98656082,59.27449036,58.65351105,56.60887146,62.07609177,61.39257813,60.31758118,62.73199081
AND,NY.GDP.MKTP.CD,1429048106,1546912332,1755989899,2361635782,2895047587,3159826892,3456265062,3952397735,4085781939,3674188229,3449925739,3629133575,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3325145407,3352032737
AND,SE.TER.ENRR,,,6.826900005,7.341650009,7.658490181,7.876550198,9.31690979,,11.74213028,,,,13.28104019,14.75994968,13.70014,13.88195992,15.10890961,15.43694019,15.39402962,15,15.09827042,15.20427036,34.48035049
ARB,NY.GDP.MKTP.CD,8.20E+11,8.03E+11,8.08E+11,8.94E+11,1.06E+12,1.30E+12,1.55E+12,1.80E+12,2.26E+12,1.99E+12,2.33E+12,2.56E+12,2.80E+12,2.86E+12,2.91E+12,2.55E+12,2.54E+12,2.64E+12,2.84E+12,2.87E+12,2.53E+12,2.93E+12,3.56E+12
ARB,SE.TER.ENRR,17.25071907,17.8405304,18.72736931,18.82052994,20.02347946,21.06285095,21.46902084,21.91975975,22.5374794,23.22514915,23.97083092,23.65916061,25.02296066,26.67027092,27.9827404,29.36167908,29.90621948,30.88459015,32.16476059,33.01842117,33.39014053,33.45962906,33.51316833
ARE,NY.GDP.MKTP.CD,1.04E+11,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.54E+11,2.90E+11,3.51E+11,3.85E+11,4.00E+11,4.14E+11,3.70E+11,3.69E+11,3.91E+11,4.27E+11,4.18E+11,3.49E+11,4.15E+11,5.08E+11
ARE,SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,46.48083115,52.70621872,,
ARG,NY.GDP.MKTP.CD,2.84E+11,2.69E+11,97724004252,1.28E+11,1.65E+11,1.99E+11,2.33E+11,2.88E+11,3.62E+11,3.33E+11,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.44E+11,5.25E+11,4.48E+11,3.86E+11,4.87E+11,6.33E+11
ARG,SE.TER.ENRR,54.33327103,58.79169083,62.05926132,64.40245056,64.8878479,63.7323494,67.11859131,66.90944672,68.81629181,71.03746033,74.18753052,77.42961121,78.45590973,78.7686615,81.16941071,83.76258087,86.61788177,89.23294067,90.97283173,95.0775528,99.26622772,107.130661,
ARM,NY.GDP.MKTP.CD,1911563669,2118467913,2376335048,2807061009,3576615240,4900469515,6384452071,9206301264,11662040704,8647937091,9260285762,10142111812,10619320693,11121464430,11609513241,10553337528,10546136240,11527458713,12457940705,13619290546,12641698594,13861409969,19502783988
ARM,SE.TER.ENRR,35.33147049,33.65793991,35.85945129,36.66453171,37.08034897,38.33843994,41.8117218,44.43370819,45.99962997,47.37995148,47.74531174,47.82310104,41.4842186,41.62403107,44.41101837,45.46743011,51.74600983,53.59075928,56.16505051,53.30681992,53.30612946,58.75630951,59.80644989
ASM,NY.GDP.MKTP.CD,,,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,716000000,709000000,
ASM,SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,
ATG,NY.GDP.MKTP.CD,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467955556,1604770370,1675403704,1416348148,1560518519,1757603704
ATG,SE.TER.ENRR,,,,,,,,,,14.82699013,16.60280991,15.00421047,24.9304409,,,,,,,,,,
AUS,NY.GDP.MKTP.CD,4.16E+11,3.79E+11,3.96E+11,4.67E+11,6.14E+11,6.95E+11,7.48E+11,8.54E+11,1.06E+12,9.29E+11,1.15E+12,1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.39E+12,1.33E+12,1.55E+12,1.68E+12
AUS,SE.TER.ENRR,,,,,,,,,,,,,,,,119.67939,119.6827774,109.993309,103.3220901,109.7595596,110.1392212,112.6882935,
AUT,NY.GDP.MKTP.CD,1.97E+11,1.98E+11,2.14E+11,2.62E+11,3.01E+11,3.16E+11,3.36E+11,3.89E+11,4.32E+11,4.02E+11,3.92E+11,4.32E+11,4.09E+11,4.30E+11,4.43E+11,3.82E+11,3.96E+11,4.17E+11,4.55E+11,4.45E+11,4.35E+11,4.80E+11,4.71E+11
AUT,SE.TER.ENRR,,,,,,,,63.80212021,66.19838715,67.99157715,75.04025269,77.26251221,79.54712677,80.96160126,81.0195694,82.25630951,82.8496933,83.83925629,85.86988831,86.32343292,88.7071991,93.94007111,
AZE,NY.GDP.MKTP.CD,5272617196,5707618247,6236086669,7276413079,8680410158,13245421881,20981929498,33049426816,48851318826,44292408817,52909294792,65952763949,69679913510,74160553009,75239737489,53076244755,37867007023,40866632048,47112479289,48174235294,42693000000,54825411765,78721058824
AZE,SE.TER.ENRR,,,,,,,19.78945923,19.36459923,19.04788971,19.05771065,19.26004028,19.64731026,20.4384594,21.44042969,23.15973091,25.48320007,25.92642021,27.06740952,27.70849991,31.54019928,36.15219879,38.86608124,41.77328873
BDI,NY.GDP.MKTP.CD,870486065.9,876794723.1,825394519.7,784654423.6,915257323.4,1117113080,1273375078,1356199387,1611835857,1781455140,2032135191,2235820809,2333341334,2451606632,2705783330,3104003546,2644487777,2723586962,2667182199,2576518879,2649680261,2775798697,3073414678
BDI,SE.TER.ENRR,1.091120005,1.064659953,1.650490046,,2.15647006,2.186569929,2.215150118,2.315710068,2.551769972,2.736040115,3.121239901,,2.98822999,3.79121995,4.576920033,5.391960144,4.090069771,4.437210083,4.698550224,,,6.286772251,6.516800404
BEL,NY.GDP.MKTP.CD,2.37E+11,2.37E+11,2.58E+11,3.18E+11,3.69E+11,3.86E+11,4.08E+11,4.71E+11,5.17E+11,4.83E+11,4.81E+11,5.23E+11,4.96E+11,5.22E+11,5.35E+11,4.62E+11,4.76E+11,5.03E+11,5.43E+11,5.36E+11,5.25E+11,5.94E+11,5.79E+11
