CountryCode,IndicatorCode,Year,Value
AFE,NY.GDP.MKTP.CD,2000,
AFE,SE.TER.ENRR,2000,3.886470079
AFG,NY.GDP.MKTP.CD,2000,47000000002.59097
AFG,SE.TER.ENRR,2000,94000000001.29549
AFW,NY.GDP.MKTP.CD,2000,141000000000.0
AFW,SE.TER.ENRR,2000,5.0457201
AGO,NY.GDP.MKTP.CD,2000,9129594819.0
AGO,SE.TER.ENRR,2000,6304975038.5
ALB,NY.GDP.MKTP.CD,2000,3480355258.0
ALB,SE.TER.ENRR,2000,15.23215961
AND,NY.GDP.MKTP.CD,2000,1429048106.0
AND,SE.TER.ENRR,2000,952698743.0835731
ARB,NY.GDP.MKTP.CD,2000,476349380.1671461
ARB,SE.TER.ENRR,2000,17.25071907
ARE,NY.GDP.MKTP.CD,2000,104000000000.0
ARE,SE.TER.ENRR,2000,69333333351.44443
ARG,NY.GDP.MKTP.CD,2000,34666666702.88884
ARG,SE.TER.ENRR,2000,54.33327103
ARM,NY.GDP.MKTP.CD,2000,1911563669.0
ARM,SE.TER.ENRR,2000,35.33147049
ASM,NY.GDP.MKTP.CD,2000,275456813.687647
ASM,SE.TER.ENRR,2000,550913592.0438235
ATG,NY.GDP.MKTP.CD,2000,826370370.4
ATG,SE.TER.ENRR,2000,20888358015.920002
AUS,NY.GDP.MKTP.CD,2000,40950345661.44
AUS,SE.TER.ENRR,2000,61012333306.96
AUT,NY.GDP.MKTP.CD,2000,81074320952.48
AUT,SE.TER.ENRR,2000,101136308598.0
AZE,NY.GDP.MKTP.CD,2000,5272617196.0
AZE,SE.TER.ENRR,2000,3071551630.95
BDI,NY.GDP.MKTP.CD,2000,870486065.9
BDI,SE.TER.ENRR,2000,1.091120005
BEL,NY.GDP.MKTP.CD,2000,28.6464759125
BEL,SE.TER.ENRR,2000,56.20183182
BEN,NY.GDP.MKTP.CD,2000,3519991440.0
BEN,SE.TER.ENRR,2000,3.626980066
BFA,NY.GDP.MKTP.CD,2000,2968370087.0
BFA,SE.TER.ENRR,2000,28169078703.0
BGD,NY.GDP.MKTP.CD,2000,53369787319.0
BGD,SE.TER.ENRR,2000,5.46036005
BGR,NY.GDP.MKTP.CD,2000,13245990274.0
