Board Number,Board Name,Elementary Male Enrolment,Elementary Female Enrolment,Secondary Male Enrolment,Secondary Female Enrolment,Total Male Enrolment,Total Female Enrolment,year
B28010,Algoma DSB,3298 ,3013 ,1795 ,1515 ,5093 ,4528 ,2016 
B67202,Algonquin and Lakeshore CDSB,3962 ,3822 ,1974 ,2002 ,5936 ,5824 ,2016 
B66010,Avon Maitland DSB,5138 ,4936 ,2893 ,2669 ,8031 ,7605 ,2016 
B66001,Bluewater DSB,5853 ,5645 ,2518 ,2240 ,8371 ,7885 ,2016 
B67164,Brant Haldimand Norfolk CDSB,3288 ,3123 ,1754 ,1718 ,5042 ,4841 ,2016 
B67008,Bruce-Grey CDSB,1392 ,1347 ,807 ,702 ,2199 ,2049 ,2016 
B67172,CDSB of Eastern Ontario,4428 ,4226 ,2107 ,2022 ,6535 ,6248 ,2016 
B66303,CS Viamonde,4650 ,4909 ,877 ,977 ,5527 ,5886 ,2016 
B67318,CS catholique MonAvenir,6375 ,6930 ,1451 ,1649 ,7826 ,8579 ,2016 
B28118,CS public du Grand Nord de l'Ontario,941 ,880 ,321 ,286 ,1262 ,1166 ,2016 
B28100,CSD du Nord-Est de l'Ontario,803 ,870 ,250 ,234 ,1053 ,1104 ,2016 
B29114,CSDC Franco-Nord,941 ,994 ,449 ,459 ,1390 ,1453 ,2016 
B67326,CSDC de l'Est ontarien,3697 ,3664 ,1423 ,1328 ,5120 ,4992 ,2016 
B29130,CSDC des Aurores boréales,340 ,331 ,70 ,60 ,410 ,391 ,2016 
B29106,CSDC des Grandes Rivières,2016 ,2088 ,880 ,935 ,2896 ,3023 ,2016 
B67334,CSDC du Centre-Est de l'Ontario,8682 ,8870 ,2520 ,2630 ,11202 ,11500 ,2016 
B29122,CSDC du Nouvel-Ontario,2516 ,2568 ,759 ,849 ,3275 ,3417 ,2016 
B67300,Conseil scolaire catholique Providence,3830 ,4233 ,857 ,935 ,4687 ,5168 ,2016 
B66311,CÉP de l'Est de l'Ontario,5378 ,5494 ,1664 ,1843 ,7042 ,7337 ,2016 
B66150,DSB Niagara,12730 ,12016 ,6175 ,5790 ,18905 ,17806 ,2016 
B28002,DSB Ontario North East,2168 ,1997 ,1380 ,1197 ,3548 ,3194 ,2016 
B67083,Dufferin-Peel CDSB,25394 ,24006 ,16118 ,15672 ,41512 ,39678 ,2016 
B67105,Durham CDSB,7443 ,7115 ,3432 ,3294 ,10875 ,10409 ,2016 
B66060,Durham DSB,24886 ,23705 ,11075 ,10201 ,35961 ,33906 ,2016 
B66168,Grand Erie DSB,9175 ,8540 ,4689 ,4239 ,13864 ,12779 ,2016 
B66028,Greater Essex County DSB,12473 ,11498 ,6054 ,5563 ,18527 ,17061 ,2016 
B67113,Halton CDSB,11553 ,10791 ,5833 ,5360 ,17386 ,16151 ,2016 
B66133,Halton DSB,23019 ,21861 ,9852 ,9223 ,32871 ,31084 ,2016 
B67121,Hamilton-Wentworth CDSB,9516 ,9027 ,5355 ,5222 ,14871 ,14249 ,2016 
B66141,Hamilton-Wentworth DSB,18298 ,16810 ,7688 ,6830 ,25986 ,23640 ,2016 
B66222,Hastings & Prince Edward DSB,5204 ,4970 ,2515 ,2375 ,7719 ,7345 ,2016 
B67016,Huron Perth CDSB,1597 ,1535 ,676 ,710 ,2273 ,2245 ,2016 
B29025,Huron-Superior CDSB,1842 ,1762 ,610 ,651 ,2452 ,2413 ,2016 
B15148,James Bay Lowlands SSB,,,79 ,98 ,79 ,98 ,2016 
