Board Number,Board Name,Elementary Male Enrolment,Elementary Female Enrolment,Secondary Male Enrolment,Secondary Female Enrolment,Total Male Enrolment,Total Female Enrolment
B28010,Algoma DSB,"3,363","3,048","1,724","1,506","5,087","4,554"
B67202,Algonquin and Lakeshore CDSB,"4,010","3,928","1,934","1,944","5,944","5,872"
B66010,Avon Maitland DSB,"5,178","4,988","2,934","2,693","8,112","7,681"
B66001,Bluewater DSB,"6,036","5,824","2,398","2,198","8,434","8,022"
B67164,Brant Haldimand Norfolk CDSB,"3,360","3,204","1,751","1,749","5,111","4,953"
B67008,Bruce-Grey CDSB,"1,425","1,400",855,743,"2,280","2,143"
B67172,CDSB of Eastern Ontario,"4,440","4,224","2,011","2,038","6,451","6,262"
B66303,CS Viamonde,"4,839","5,150",916,"1,071","5,755","6,221"
B67318,CS catholique MonAvenir,"6,510","7,081","1,488","1,667","7,998","8,748"
B28118,CS public du Grand Nord de l'Ontario,974,901,313,285,"1,287","1,186"
B28100,CSD du Nord-Est de l'Ontario,807,887,234,226,"1,041","1,113"
B29114,CSDC Franco-Nord,975,"1,001",398,422,"1,373","1,423"
B67326,CSDC de l'Est ontarien,"3,688","3,698","1,352","1,305","5,040","5,003"
B29130,CSDC des Aurores bor¨¦ales,341,347,61,61,402,408
B29106,CSDC des Grandes Rivi¨¨res,"2,022","2,094",855,890,"2,877","2,984"
B67334,CSDC du Centre-Est de l'Ontario,"9,041","9,374","2,629","2,720","11,670","12,094"
B29122,CSDC du Nouvel-Ontario,"2,447","2,550",771,884,"3,218","3,434"
B67300,Conseil scolaire catholique Providence,"3,855","4,272",873,988,"4,728","5,260"
B66311,C?P de l'Est de l'Ontario,"5,692","5,826","1,785","1,941","7,477","7,767"
B66150,DSB Niagara,"12,866","12,224","6,144","5,818","19,010","18,042"
B28002,DSB Ontario North East,"2,130","2,040","1,363","1,127","3,493","3,167"
B67083,Dufferin-Peel CDSB,"25,196","23,900","15,912","15,419","41,108","39,319"
B67105,Durham CDSB,"7,492","7,105","3,341","3,229","10,833","10,334"
B66060,Durham DSB,"25,067","23,970","10,950","10,214","36,017","34,184"
B66168,Grand Erie DSB,"9,180","8,632","4,583","4,154","13,763","12,786"
B66028,Greater Essex County DSB,"12,727","11,797","6,224","5,584","18,951","17,381"
B67113,Halton CDSB,"11,702","10,971","6,173","5,725","17,875","16,696"
B66133,Halton DSB,"23,092","22,014","10,090","9,321","33,182","31,335"
B67121,Hamilton-Wentworth CDSB,"9,613","9,088","5,475","5,287","15,088","14,375"
B66141,Hamilton-Wentworth DSB,"18,508","17,034","7,611","6,811","26,119","23,845"
B66222,Hastings & Prince Edward DSB,"5,299","5,049","2,433","2,299","7,732","7,348"
B67016,Huron Perth CDSB,"1,630","1,560",638,696,"2,268","2,256"
B29025,Huron-Superior CDSB,"1,844","1,754",550,620,"2,394","2,374"
B15148,James Bay Lowlands SSB,.,.,77,86,77,86
B66079,Kawartha Pine Ridge DSB,"11,698","11,109","4,840","4,676","16,538","15,785"
B28045,Keewatin-Patricia DSB,"1,462","1,381","1,086",936,"2,548","2,317"
B29050,Kenora CDSB,523,521,188,187,711,708
B28061,Lakehead DSB,"3,136","2,950","1,405","1,316","4,541","4,266"
B66036,Lambton Kent DSB,"7,502","7,091","3,816","3,515","11,318","10,606"
B66206,Limestone DSB,"6,680","6,375","3,403","3,227","10,083","9,602"
B67032,London District Catholic School Board,"6,755","6,425","3,502","3,260","10,257","9,685"
B15199,Moose Factory Island DSAB,173,127,.,.,173,127
B15202,Moosonee DSAB,131,148,.,.,131,148
B28037,Near North DSB,"3,492","3,177","1,738","1,544","5,230","4,721"
B67156,Niagara CDSB,"7,330","7,118","3,655","3,326","10,985","10,444"
B29017,Nipissing-Parry Sound CDSB,953,903,405,404,"1,358","1,307"
B29009,Northeastern CDSB,951,871,228,218,"1,179","1,089"
B29041,Northwest CDSB,657,654,.,.,657,654
B67180,Ottawa CDSB,"14,652","13,874","7,140","6,411","21,792","20,285"
B66184,Ottawa-Carleton DSB,"25,100","23,836","12,353","12,084","37,453","35,920"
B66125,Peel DSB,"59,181","55,070","22,508","19,571","81,689","74,641"
B79910,Penetanguishene PSSB,142,148,.,.,142,148
