Board Number,Board Name,Elementary Male,Elementary Female,Secondary Male,Secondary Female,Total Male,Total Female
B28010,Algoma DSB," 3,395 "," 3,140 "," 1,735 "," 1,525 "," 5,130 "," 4,665 "
B67202,Algonquin and Lakeshore CDSB," 4,030 "," 3,915 "," 1,910 "," 1,895 "," 5,940 "," 5,810 "
B66010,Avon Maitland DSB," 5,195 "," 5,000 "," 2,835 "," 2,675 "," 8,030 "," 7,675 "
B66001,Bluewater DSB," 6,225 "," 5,975 "," 2,380 "," 2,140 "," 8,605 "," 8,115 "
B67164,Brant Haldimand Norfolk CDSB," 3,375 "," 3,290 "," 1,820 "," 1,805 "," 5,195 "," 5,095 "
B67008,Bruce-Grey CDSB," 1,515 "," 1,440 ", 845 , 800 ," 2,360 "," 2,245 "
B67172,CDSB of Eastern Ontario," 4,575 "," 4,310 "," 1,965 "," 1,940 "," 6,540 "," 6,250 "
B66303,CS Viamonde," 5,035 "," 5,450 ", 975 ," 1,105 "," 6,010 "," 6,555 "
B67318,CS catholique MonAvenir," 6,585 "," 7,090 "," 1,550 "," 1,780 "," 8,135 "," 8,870 "
B28118,CS public du Grand Nord de l'Ontario, 965 , 905 , 340 , 305 ," 1,305 "," 1,210 "
B28100,CSD du Nord-Est de l'Ontario, 830 , 895 , 205 , 210 ," 1,035 "," 1,105 "
B29114,CSDC Franco-Nord, 945 , 990 , 390 , 425 ," 1,335 "," 1,415 "
B67326,CSDC de l'Est ontarien," 3,705 "," 3,780 "," 1,340 "," 1,295 "," 5,045 "," 5,070 "
B29130,CSDC des Aurores bor¨¦ales, 345 , 360 , 60 , 70 , 405 , 430 
B29106,CSDC des Grandes Rivi¨¨res," 2,005 "," 2,085 ", 805 , 845 ," 2,810 "," 2,935 "
B67334,CSDC du Centre-Est de l'Ontario," 9,250 "," 9,565 "," 2,820 "," 2,880 "," 12,070 "," 12,445 "
B29122,CSDC du Nouvel-Ontario," 2,440 "," 2,525 ", 800 , 890 ," 3,240 "," 3,420 "
B67300,Conseil scolaire catholique Providence," 3,925 "," 4,240 ", 895 ," 1,055 "," 4,825 "," 5,295 "
B66311,C?P de l'Est de l'Ontario," 5,995 "," 6,185 "," 1,855 "," 2,030 "," 7,850 "," 8,215 "
B66150,DSB Niagara," 13,145 "," 12,435 "," 6,335 "," 5,815 "," 19,480 "," 18,250 "
B28002,DSB Ontario North East," 2,130 "," 2,050 "," 1,325 "," 1,135 "," 3,460 "," 3,185 "
B67083,Dufferin-Peel CDSB," 25,050 "," 23,835 "," 16,000 "," 15,405 "," 41,050 "," 39,240 "
B67105,Durham CDSB," 7,670 "," 7,240 "," 3,300 "," 3,170 "," 10,970 "," 10,415 "
B66060,Durham DSB," 25,475 "," 24,360 "," 11,105 "," 10,210 "," 36,580 "," 34,570 "
B66168,Grand Erie DSB," 9,255 "," 8,740 "," 4,505 "," 4,005 "," 13,760 "," 12,745 "
B66028,Greater Essex County DSB," 12,835 "," 11,950 "," 6,185 "," 5,635 "," 19,020 "," 17,585 "
B67113,Halton CDSB," 11,955 "," 11,260 "," 6,700 "," 6,100 "," 18,650 "," 17,360 "
B66133,Halton DSB," 23,340 "," 22,265 "," 10,290 "," 9,385 "," 33,630 "," 31,650 "
B67121,Hamilton-Wentworth CDSB," 9,645 "," 9,175 "," 5,490 "," 5,395 "," 15,140 "," 14,570 "
B66141,Hamilton-Wentworth DSB," 18,545 "," 17,355 "," 7,440 "," 6,710 "," 25,985 "," 24,065 "
B66222,Hastings & Prince Edward DSB," 5,315 "," 5,055 "," 2,415 "," 2,295 "," 7,730 "," 7,350 "
B67016,Huron Perth CDSB," 1,640 "," 1,615 ", 665 , 710 ," 2,305 "," 2,325 "
B29025,Huron-Superior CDSB," 1,865 "," 1,750 ", 505 , 575 ," 2,370 "," 2,325 "
B15148,James Bay Lowlands SSB,,, 90 , 75 , 90 , 75 
B66079,Kawartha Pine Ridge DSB," 12,010 "," 11,320 "," 4,845 "," 4,745 "," 16,855 "," 16,065 "
B28045,Keewatin-Patricia DSB," 1,455 "," 1,395 "," 1,075 ", 900 ," 2,535 "," 2,290 "
B29050,Kenora CDSB, 520 , 500 , 195 , 205 , 715 , 700 
B28061,Lakehead DSB," 3,210 "," 2,975 "," 1,380 "," 1,270 "," 4,590 "," 4,245 "
B66036,Lambton Kent DSB," 7,490 "," 7,175 "," 3,890 "," 3,475 "," 11,380 "," 10,650 "
B66206,Limestone DSB," 6,780 "," 6,405 "," 3,410 "," 3,140 "," 10,185 "," 9,545 "
B67032,London District Catholic School Board," 7,090 "," 6,735 "," 3,630 "," 3,350 "," 10,720 "," 10,085 "
B15199,Moose Factory Island DSAB, 170 , 135 ,,, 170 , 135 
B15202,Moosonee DSAB, 125 , 135 ,,, 125 , 135 
B28037,Near North DSB," 3,475 "," 3,225 "," 1,720 "," 1,525 "," 5,195 "," 4,745 "
B67156,Niagara CDSB," 7,285 "," 7,075 "," 3,575 "," 3,235 "," 10,865 "," 10,310 "
B29017,Nipissing-Parry Sound CDSB, 940 , 900 , 415 , 415 ," 1,355 "," 1,320 "
B29009,Northeastern CDSB, 965 , 910 , 220 , 210 ," 1,185 "," 1,120 "
B29041,Northwest CDSB, 645 , 625 ,,, 645 , 625 
B67180,Ottawa CDSB," 15,105 "," 14,440 "," 7,295 "," 6,635 "," 22,400 "," 21,075 "
B66184,Ottawa-Carleton DSB," 25,520 "," 24,015 "," 12,700 "," 12,485 "," 38,220 "," 36,500 "
B66125,Peel DSB," 59,405 "," 55,695 "," 22,655 "," 19,835 "," 82,060 "," 75,530 "
B79910,Penetanguishene PSSB, 170 , 175 ,,, 170 , 175 
B67067,Peterborough Victoria Northumberland and Clarington CDSB," 5,190 "," 5,165 "," 2,495 "," 2,220 "," 7,680 "," 7,385 "
B28029,Rainbow DSB," 4,670 "," 4,195 "," 2,395 "," 2,140 "," 7,065 "," 6,340 "
B28053,Rainy River DSB, 875 , 865 , 465 , 460 ," 1,340 "," 1,320 "
B67199,Renfrew County CDSB," 1,985 "," 1,750 ", 580 , 550 ," 2,570 "," 2,300 "
B66214,Renfrew County DSB," 3,095 "," 2,840 "," 1,665 "," 1,515 "," 4,755 "," 4,355 "
B66109,Simcoe County DSB," 19,185 "," 18,020 "," 8,055 "," 7,640 "," 27,240 "," 25,665 "
B67091,Simcoe Muskoka CDSB," 7,600 "," 7,180 "," 3,560 "," 3,410 "," 11,160 "," 10,590 "
B67040,St Clair CDSB," 3,090 "," 3,025 "," 1,290 "," 1,310 "," 4,380 "," 4,330 "
B29033,Sudbury CDSB," 2,095 "," 2,010 ", 940 , 875 ," 3,035 "," 2,885 "
B29076,Superior North CDSB, 360 , 310 ,,, 360 , 310 
B28070,Superior-Greenstone DSB, 405 , 365 , 390 , 285 , 800 , 650 
B66044,Thames Valley DSB," 28,365 "," 26,715 "," 12,275 "," 11,615 "," 40,640 "," 38,330 "
B29068,Thunder Bay CDSB," 2,785 "," 2,685 "," 1,140 "," 1,050 "," 3,930 "," 3,735 "
B67059,Toronto CDSB," 31,865 "," 30,850 "," 14,540 "," 14,665 "," 46,400 "," 45,515 "
B66052,Toronto DSB," 89,295 "," 84,190 "," 37,680 "," 35,230 "," 126,975 "," 119,420 "
B66087,Trillium Lakelands DSB," 5,710 "," 5,370 "," 2,965 "," 2,720 "," 8,675 "," 8,090 "
B66192,Upper Canada DSB," 9,225 "," 8,600 "," 4,790 "," 4,385 "," 14,015 "," 12,990 "
B66117,Upper Grand DSB," 12,320 "," 11,425 "," 5,940 "," 5,570 "," 18,260 "," 16,995 "
B67148,Waterloo CDSB," 8,360 "," 7,925 "," 3,595 "," 3,355 "," 11,955 "," 11,280 "
B66176,Waterloo Region DSB," 22,820 "," 21,790 "," 10,535 "," 9,770 "," 33,355 "," 31,560 "
B67130,Wellington CDSB," 2,950 "," 2,715 "," 1,230 "," 1,190 "," 4,180 "," 3,905 "
B67024,Windsor-Essex CDSB," 6,900 "," 6,420 "," 3,835 "," 3,520 "," 10,735 "," 9,940 "
B67075,York CDSB," 17,705 "," 17,170 "," 9,195 "," 8,840 "," 26,905 "," 26,010 "
B66095,York Region DSB," 44,270 "," 41,700 "," 21,320 "," 19,665 "," 65,590 "," 61,365 "
,Total," 721,700 "," 687,325 "," 325,745 "," 305,710 "," 1,047,445 "," 993,040 "
,,,,,,,
,,,,,,,
